date,open,high,low,close,volume,symbol,ma_5,ma_20,macd,macd_signal,macd_hist,rsi_14,boll_mid,boll_upper,boll_lower,atr_14,k,d,j
2025-01-01 00:00:00,99.21,99.67,98.19,99.32,185378,DEMO.SH,,,0.0,0.0,0.0,,,,,,,,
2025-01-02 00:00:00,99.26,99.65,98.33,99.13,122243,DEMO.SH,,,-0.015156695156690603,-0.0030313390313381205,-0.012125356125352482,,,,,,,,
2025-01-03 00:00:00,99.01,100.22,98.77,99.4,190036,DEMO.SH,,,-0.005320411360301591,-0.003489153497130815,-0.0018312578631707764,,,,,,,,
2025-01-06 00:00:00,101.78,102.24,100.87,101.36,135919,DEMO.SH,,,0.15879998661533534,0.02896867452536242,0.12983131208997292,,,,,,,,
2025-01-07 00:00:00,101.77,102.0,99.94,100.69,162076,DEMO.SH,99.97999999999999,,0.2321273640992132,0.06960041244013257,0.16252695165908063,,,,,,,,
2025-01-08 00:00:00,100.83,101.29,99.94,100.3,133182,DEMO.SH,100.176,,0.25582115142590567,0.1068445602372872,0.14897659118861847,,,,,,,,
2025-01-09 00:00:00,99.76,100.85,99.05,99.22,190777,DEMO.SH,100.194,,0.18531547310435315,0.1225387428107004,0.06277673029365274,,,,,,,,
2025-01-10 00:00:00,96.82,98.35,95.31,97.69,131931,DEMO.SH,99.852,,0.005912842247255412,0.0992135626980114,-0.09330072045075599,,,,,,,,
2025-01-13 00:00:00,96.69,98.5,96.47,98.04,177209,DEMO.SH,99.188,,-0.10679192941853444,0.05801246427470223,-0.16480439369323668,,,,,,39.39393939393949,39.39393939393949,39.39393939393949
2025-01-14 00:00:00,96.63,97.23,95.92,96.64,137519,DEMO.SH,98.378,,-0.30555729833710643,-0.014701488247659503,-0.29085581008944694,,,,,,32.65993265993272,37.1492704826039,23.681257014590358
2025-01-15 00:00:00,99.65,100.47,98.83,99.52,134421,DEMO.SH,98.22200000000001,,-0.22805942728086848,-0.0573730760543013,-0.17068635122656717,,,,,,42.023408690075385,38.77398321842773,48.522259633370695
2025-01-16 00:00:00,99.09,100.77,98.39,99.87,135564,DEMO.SH,98.352,,-0.1368225262848881,-0.07326296610041866,-0.06355956018446945,,,,,,49.94922772700556,42.499064721287006,64.84955373844265
